City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Iquitos,PE,-3.7481,-73.2472,80.6,83,40,1.14,scattered clouds
274,Ambilobe,MG,-13.2,49.05,75.06,93,88,1.9,overcast clouds
275,Agucadoura,PT,41.4318,-8.7804,48.99,93,0,5.97,clear sky
276,Kovur,IN,14.4833,79.9833,71.91,88,4,5.37,clear sky
277,Bridlington,GB,54.0831,-0.1919,45.0,73,62,8.01,broken clouds
278,Gambela,ET,8.25,34.5833,80.11,52,9,3.36,clear sky
279,Ilulissat,GL,69.2167,-51.1,-2.2,71,90,10.36,overcast clouds
280,Usogorsk,RU,63.4106,48.6872,34.27,92,100,11.9,overcast clouds
281,Guanica,PR,17.9716,-66.908,73.0,81,40,5.99,scattered clouds
282,Sur,OM,22.5667,59.5289,75.87,58,0,6.98,clear sky
283,Vanimo,PG,-2.6741,141.3028,84.43,67,100,1.12,overcast clouds
284,Vagur,FO,61.4732,-6.8119,42.64,76,27,16.33,scattered clouds
285,Saint-Augustin,CA,51.226,-58.6502,28.83,97,100,2.84,overcast clouds
286,Nanakuli,US,21.3906,-158.1547,80.6,83,75,9.22,light rain
287,Upernavik,GL,72.7868,-56.1549,-23.35,94,91,4.63,overcast clouds
288,Tautira,PF,-17.7333,-149.15,89.6,58,40,4.61,light rain
289,Marystown,CA,47.1666,-55.1483,39.42,77,48,2.95,scattered clouds
290,Mosquera,CO,4.7059,-74.2302,55.4,94,40,6.91,scattered clouds
291,Narsaq,GL,60.9167,-46.05,19.4,53,90,14.97,overcast clouds
292,Merke,KZ,42.8728,73.1786,50.05,52,57,10.2,broken clouds
293,Yumen,CN,40.2833,97.2,44.35,23,100,15.61,overcast clouds
294,San Carlos Del Zulia,VE,9.0,-71.9135,77.52,85,89,5.84,overcast clouds
295,Nara,JP,34.6851,135.8049,57.99,72,75,3.44,heavy intensity rain
296,Katsuura,JP,35.1333,140.3,62.01,61,100,5.99,overcast clouds
297,Kavieng,PG,-2.5744,150.7967,83.43,72,93,10.29,overcast clouds
298,Ponta Delgada,PT,37.7333,-25.6667,55.4,76,20,6.91,few clouds
299,Praya,CV,14.9215,-23.5087,68.0,77,0,17.27,clear sky
300,Sao Filipe,CV,14.8961,-24.4956,73.0,68,9,16.75,clear sky
301,Sabha,LY,27.0377,14.4283,51.53,40,0,10.22,clear sky
302,Langsa,ID,4.4683,97.9683,74.43,91,99,2.82,overcast clouds
303,Port Lincoln,AU,-34.7333,135.8667,65.05,55,12,12.77,few clouds
304,Grand-Santi,GF,4.25,-54.3833,71.85,96,66,1.81,light rain
305,Carnarvon,AU,-24.8667,113.6333,73.4,73,75,18.41,broken clouds
306,Wattegama,LK,6.7989,81.4808,73.38,91,100,3.13,moderate rain
307,Pundaguitan,PH,6.3711,126.1689,81.25,77,95,11.56,overcast clouds
308,Charters Towers,AU,-20.1,146.2667,82.44,50,85,10.49,overcast clouds
309,Fukue,JP,32.6881,128.8419,57.2,94,20,3.44,few clouds
310,General Pico,AR,-35.6566,-63.7568,71.85,50,0,7.36,clear sky
311,Aksarka,RU,66.5606,67.7975,8.98,94,51,9.13,broken clouds
312,Grindavik,IS,63.8424,-22.4338,28.4,93,75,4.61,broken clouds
313,Linhares,BR,-19.3911,-40.0722,72.79,88,14,0.67,few clouds
314,Lima,PE,-12.0432,-77.0282,73.4,68,0,11.5,moderate rain
315,Geraldton,AU,-28.7667,114.6,62.6,63,0,10.36,clear sky
316,Elizabeth City,US,36.2946,-76.2511,66.2,77,1,11.5,clear sky
317,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,0,8.05,clear sky
318,Whitehorse,CA,60.7161,-135.0538,25.0,42,75,3.44,broken clouds
319,Haines Junction,CA,60.7522,-137.5108,30.2,31,91,3.44,overcast clouds
